time1,time2,state,hive_age,cubee,fob,fobr,foh,varroa,queen_age,queen_state,queen_cubee,queen_id,brood_pattern,stings,hid,hive_interacted
0,30,1,4,0,,,,,,,,,,,46955,0
30,59,1,39,0,,,,,,,,,,,46955,0
59,89,1,74,0,,2.300326633791206,,,,,,,,,46955,0
89,118,1,98,0,6.61115006192815,4.234923761071717,,,,,,,,,46955,1
118,148,1,125,1,6.0,6.316359597656379,,,,,,,,,46955,1
148,178,1,150,0,5.999999999999998,6.190871854996746,,,,,,,,,46955,1
178,207,1,196,1,5.999999999999998,5.999999999999998,,0.0,,,,,,,46955,24
207,237,1,210,0,6.0,6.0,,5.0,,,,,,,46955,23
0,30,1,278,0,6.0,6.0,,5.0,,,,,,,46955,23
30,60,1,306,0,6.0,6.0,,,,,,,,,46955,23
60,87,0,344,0,6.0,6.0,,,,,,,,,46955,23
0,29,1,0,0,,,,,,,,,,,55966,10
29,59,1,36,0,,,,,,,,,,,55966,15
59,88,1,57,0,6.538384710989764,,,,,,,,,,55966,26
88,118,1,89,0,6.9999999999999964,7.219062420492477,,,,,,,,,55966,18
118,148,1,120,0,6.999999999999999,7.337798574157373,,0.0,,,,,,,55966,16
148,177,1,155,1,7.000000000000003,5.999999999999998,5.999999999999998,0.0,,,,,,,55966,23
177,207,1,180,0,4.999999999999999,0.0,6.0,4.0,,,,,,,55966,22
0,27,1,301,0,4.999999999999999,0.0,6.0,,,,,,,,55966,22
27,57,0,337,0,4.999999999999999,0.0,6.0,,,,,,,,55966,16
0,29,1,0,0,,,,,,,,,,,55967,10
29,59,1,34,1,,,,,,,,,,,55967,22
59,88,1,65,0,,7.999999999999998,,,,,,,,,55967,31
88,118,1,89,0,,6.6038544977892535,,,,,,,,,55967,30
118,148,1,127,0,,3.081342239123063,7.000000000000001,0.0,,,,,,,55967,31
148,177,1,156,1,,4.0,7.999999999999998,0.0,,,,,,,55967,33
177,207,1,187,0,,4.0,7.999999999999998,90.0,,,,,,,55967,33
0,27,1,297,0,,4.0,7.999999999999998,,,,,,,,55967,31
